이미지,이름,영문이름,종류,가격,당도,바디,아로마1,아로마2,아로마3,품종
https://wine21.speedgabia.com/WINE_MST/TITLE/0164000/W0164795.jpg,까잘 가르시아 상그리아,Casal Garcia Sangria,기타,3,3,2,레몬,베리,사과,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0164000/W0164007.jpg,풀뽀로꼬 상그리아,Pulpoloco Sangria,기타,1,3,3,레몬,베리,사과,템프라니요
https://wine21.speedgabia.com/WINE_MST/TITLE/0163000/W0163115.jpg,레오나르드 커리쉬 클리스트킨들 글루바인,Leonard Kreusch Christkindles Gluhwein,기타,1,1,3,레몬,숙성,시나몬,블렌드
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162674.jpg,샤또 드 루 무스캇 드 리브잘트,Château de L'Ou Muscat de Rivesaltes,주정강화,6,5,4,꽃,레몬,사과,뮈스까 블랑 쁘띠 그랑
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162520.jpg,프리바다 모스카텔 드 세투발 알마냑,Privada Moscatel de Setubal Almagnac,주정강화,12,5,5,레몬,숙성,시나몬,모스카텔 드 세투발
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162519.jpg,알람브레 모스카텔 로쏘 드 세투발,Alambre Moscatel Roxo de Setubal,주정강화,7,5,5,꽃,레몬,오크통,뮈스까 로소 쁘띠 그랑
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162518.jpg,알라브레 모스카텔 드 세투발,Alambre Moscatel de Setubal,주정강화,5,5,5,사과,오크통,파인애플,모스카텔 드 세투발
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162313.jpg,뷔스넬 깔바도스 페이도쥬,Busnel Calvados Pays D'Auge,고도주,10,1,5,사과,아몬드,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162145.jpg,폰세카 20년 숙성 타우니 포트,Fonseca 20 Year Old Tawny Port,주정강화,12,2,5,사과,시나몬,오크통,블렌드
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162143.jpg,폰세카 빈 27 포트,Fonseca Bin 27 Port,주정강화,4,5,5,베리,사과,오크통,블렌드
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162141.jpg,폰세카 타우니 포트,Fonseca Tawny Port,주정강화,3,5,4,말린과일,사과,오크통,블렌드
https://wine21.speedgabia.com/WINE_MST/TITLE/0162000/W0162098.jpg,루스토 올로로소 돈 누뇨 솔레라 레세르바,Lustau Oloroso Don Nuno Solera Reserva,주정강화,5,1,5,숙성,아몬드,오크통,팔로미노
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161587.jpg,페드로 히메네즈 아나다,Pedro Ximenez Anada,주정강화,10,5,5,레몬,말린과일,사과,페드로 히메네스
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161586.jpg,페드로 히메네즈 솔레라 1927,Pedro Ximenez Solera 1927,주정강화,11,5,5,말린과일,숙성,오크통,페드로 히메네스
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161504.jpg,산다라 프리미엄 상그리아,Sandara Premium Sangria,기타,3,3,2,꽃,레몬,베리,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161246.jpg,빅토리아 토니,Victoria Tawny,주정강화,5,5,4,레몬,베리,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161072.jpg,아몬티야도 나폴레옹,Amontillado Napoleon,주정강화,6,1,5,숙성,시나몬,오크통,팔로미노
https://wine21.speedgabia.com/WINE_MST/TITLE/0161000/W0161070.jpg,만사니아 라 히타나,Manzanilla La Gitana,주정강화,4,1,5,레몬,사과,시나몬,팔로미노
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160896.jpg,주스티노스 마데이라 베르델호 10년,Justino's Madeira Verdelho 10 Years Old,주정강화,13,2,5,꽃,사과,숙성,베르데호
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160893.jpg,주스티노스 마데이라 올드 리저브 파인 미디엄 드라이 10년,Justino's Madeira Old Reserve Fine Medium Dry 10 Years Old,주정강화,11,2,5,레몬,숙성,아몬드,틴타 네그라 몰레
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160891.png,주스티노스 마데이라 리저브 파인 미디엄 드라이 5년,Justino's Madeira Reserve Fine Medium Dry 5 Years Old,주정강화,7,2,5,레몬,숙성,아몬드,틴타 네그라 몰레
https://wine21.speedgabia.com/WINE_MST/TITLE/0160000/W0160889.png,주스티노스 마데이라 파인 미디엄 드라이 3년,Justino's Madeira Fine Medium Dry 3 Years Old,주정강화,5,2,4,레몬,사과,아몬드,틴타 네그라 몰레
https://wine21.speedgabia.com/WINE_MST/TITLE/0158000/W0158764.jpg,다우 레이트 바틀드 빈티지 포트,Dow's Late Bottled Vintage Port,주정강화,5,5,4,꽃,사과,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0157000/W0157615.jpg,블랜디스 듀크 오브 클라렌스 마데이라,Blandy's Duke of Clarence Madeira,주정강화,6,5,5,말린과일,숙성,오크통,틴타 네그라 몰레
https://wine21.speedgabia.com/WINE_MST/TITLE/0157000/W0157364.jpg,곤잘레스 비야스 넥타르,Gonzales Byass Nectar,주정강화,7,5,5,말린과일,사과,오크통,페드로 히메네스
https://wine21.speedgabia.com/WINE_MST/TITLE/0157000/W0157361.jpg,곤잘레스 비야스 솔레라 1847 크림쉐리,Gonzales Byass Solera 1847 Cream Sherry,주정강화,6,5,5,말린과일,사과,시나몬,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0155000/W0155812.jpg,돈 시몬 스파클링 상그리아,Don Simon Sparkling Sangria,기타,1,3,2,레몬,베리,시나몬,블렌드
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153858.jpg,페치마이스터,Fechtmeister,고도주,6,4,3,시나몬,오크통,허브,허브
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153360.jpg,노니노 아마로,Nonino Amaro,고도주,11,1,5,레몬,오크통,허브,포마스
https://wine21.speedgabia.com/WINE_MST/TITLE/0153000/W0153359.jpg,로 샤도네이 그라빠 디 노니노,Lo Chardonnay Grappa di Nonino,고도주,10,1,5,시나몬,아몬드,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/IMAGE/0152000/T0152378_002.png,라모스 핀토 루비 포트,Ramos Pinto Ruby Port,주정강화,6,5,5,베리,사과,시나몬,블렌드
https://wine21.speedgabia.com/WINE_MST/TITLE/0151000/W0151362.jpg,파이니스트 피노 셰리,Finest Fino Sherry,주정강화,2,2,4,레몬,사과,아몬드,팔로미노
https://wine21.speedgabia.com/WINE_MST/TITLE/0150000/W0150771.jpg,비스타 알레그레 리저브 토니 포트,Vista Alegre Reserve Tawny Porto,주정강화,9,5,5,숙성,시나몬,오크통,블렌디드
https://wine21.speedgabia.com/WINE_MST/TITLE/0138000/W0138741.jpg,다우 파인 토니 포트,Dow's Fine Tawny Port,주정강화,3,5,5,사과,시나몬,오크통,블렌디드
